t ETA DistanceRemaining
32.993 0.0 4.218819618225098
33.061 0.0 4.218819618225098
33.129 187.123173397 4.218819618225098
33.197 83.053254919 4.218819618225098
33.265 53.158333715 4.218819618225098
33.333 38.257891965 4.218819618225098
33.401 30.752009059 4.218819618225098
33.503 24.761983637 4.218819618225098
33.571 22.224463954 4.218819618225098
33.673 19.742880828 4.218819618225098
33.741 18.91880841 4.139745235443115
33.809 18.927118837 4.139745235443115
33.911 18.928774463 4.139745235443115
33.979 18.912901827 4.139745235443115
34.047 18.803955392 4.114745140075684
34.115 19.045840757 4.114745140075684
34.217 18.849026217 4.089745044708252
34.285 18.503527785 4.014745235443115
34.353 18.741662107 4.014745235443115
34.455 18.530371614 3.9897451400756836
34.523 18.52842742 3.9897453784942627
34.591 18.531187027 3.9897453784942627
34.659 18.412733394 3.964745283126831
34.761 18.635008213 3.964745283126831
34.829 18.638309619 3.9397451877593994
34.897 18.872250997 3.9397451877593994
34.965 18.990510822 3.9147450923919678
35.067 18.303505482 3.8647451400756836
35.135 18.188532515 3.8647451400756836
35.237 18.087283531 3.839745283126831
35.305 17.87848751 3.794034481048584
35.373 17.879427814 3.794034481048584
35.441 17.887709484 3.7690343856811523
35.509 17.878572163 3.7690343856811523
35.577 17.347731369999998 3.7440345287323
35.645 17.332784825 3.7440345287323
35.747 17.34346952 3.7190346717834473
35.815 17.024553231 3.6940345764160156
35.883 17.026401856 3.6940345764160156
35.951 16.913598047 3.669034481048584
36.053 16.979662543 3.6897451877593994
36.121 16.984514646 3.6897451877593994
36.189 17.035073263 3.664745330810547
36.291 17.02488038 3.6397452354431152
36.359 16.920072368 3.6397452354431152
36.393 16.800544316 3.6147451400756836
36.461 16.899911032 3.6147451400756836
36.563 16.398837107 3.589745044708252
36.631 16.378250382 3.5647451877593994
36.733 16.381535372 3.5647451877593994
36.801 16.05969045 3.4940345287323
36.869 16.158599293 3.4940345287323
36.971 15.955048256 3.4690346717834473
37.039 15.955663097 3.4690346717834473
37.107 15.93607029 3.4440345764160156
37.175 15.82141374 3.419034481048584
37.243 15.723594097 3.419034481048584
37.345 15.791041249 3.3940343856811523
37.413 15.767271078 3.3690345287323
37.481 15.765190411 3.3690345287323
37.583 15.918106578 3.3608932495117188
37.617 15.731323416 3.3608932495117188
37.719 15.544662873 3.3608932495117188
37.787 15.240814154 3.3147451877593994
37.855 15.330753573 3.3147451877593994
37.957 15.679831237 3.289745330810547
38.025 15.684684487 3.289745330810547
38.093 15.757823914 3.2647452354431152
38.195 15.259386101 3.2397453784942627
38.263 14.899590073 3.2397453784942627
38.331 14.958086526 3.214745283126831
38.433 14.990819981 3.1440343856811523
38.501 14.996001806 3.1440343856811523
38.569 15.183525061 3.1440343856811523
38.637 15.064566791 3.1190345287323
38.705 14.583191881 3.094034433364868
38.773 14.407146643 3.094034433364868
38.875 14.288353412 3.0690343379974365
38.943 14.11877996 3.0690343379974365
39.011 13.887279511 3.0190343856811523
39.079 14.049376765 3.0190343856811523
39.147 13.767930625 2.9940345287323
39.249 13.732058102 2.969034433364868
39.317 13.896214946 2.969034433364868
39.419 13.78272146 2.9440345764160156
39.487 13.864303596 2.9440345764160156
39.555 13.830787681 2.919034719467163
39.623 13.713365671 2.8940346240997314
39.691 13.54856471 2.8940346240997314
39.793 13.432132749 2.8690345287323
39.861 13.238455664 2.8440346717834473
39.929 13.065166591 2.839745283126831
39.997 13.067773481 2.839745283126831
40.065 12.958154152 2.8147451877593994
40.167 12.848877451 2.7897450923919678
40.235 12.739221478 2.764744997024536
40.303 12.744459927 2.764744997024536
40.405 12.562326427 2.7397451400756836
40.473 12.378186251 2.714745283126831
40.541 12.26196802 2.6897451877593994
40.609 12.260721624 2.6897451877593994
40.711 12.038524063 2.6406972408294678
40.779 12.038681585 2.6406972408294678
40.847 11.825145279000001 2.594034433364868
40.915 11.827058168 2.594034433364868
40.983 11.712052154 2.5690345764160156
41.051 11.590690596 2.544034481048584
41.153 11.477182842 2.5190343856811523
41.221 11.534613394 2.5190343856811523
41.289 11.612880448 2.4940345287323
41.357 11.747881304 2.4940345287323
41.425 11.767827736 2.4984002113342285
41.527 11.70426341 2.4984002113342285
41.595 11.371552418 2.469034433364868
41.663 11.303197629 2.469034433364868
41.765 11.389754886 2.4440345764160156
41.833 11.262894881 2.419034481048584
41.901 11.262451448 2.419034481048584
41.969 11.090535397 2.3940346240997314
42.071 10.782032823 2.3690345287323
42.139 10.678447159 2.344034433364868
42.207 10.67603001 2.3190345764160156
42.275 10.725724536 2.3190345764160156
42.343 10.606951656 2.294034481048584
42.445 10.731724513 2.294034481048584
42.513 10.387184104 2.2440345287323
42.581 10.226335378 2.219034433364868
42.649 10.288405099 2.219034433364868
42.751 10.114027056 2.1940345764160156
42.819 10.113202754 2.169034481048584
42.921 10.055686477 2.1190345287323
42.989 10.243494566 2.1580405235290527
43.091 10.038927509 2.1147451400756836
43.159 10.035762875 2.1147451400756836
43.227 9.917300323 2.089745044708252
43.295 9.67860988 2.0647451877593994
43.397 9.680381764 2.0397450923919678
43.465 9.56396983 2.0147452354431152
43.533 9.44706708 2.0147452354431152
43.601 9.440105932 1.989745020866394
43.703 9.443315133 1.989745020866394
43.771 9.141702025 1.9503819942474365
43.839 9.250093664 1.9503819942474365
43.941 9.045668621 1.919034481048584
44.009 8.822625005 1.894034504890442
44.077 8.826661643 1.894034504890442
44.179 8.649766937 1.8690344095230103
44.247 8.489781191 1.8440344333648682
44.315 8.488768679 1.8440344333648682
44.417 8.305035756 1.7940343618392944
44.485 8.26228987 1.7940343618392944
44.553 8.110990549 1.7514705657958984
44.621 8.156485584 1.7514705657958984
44.723 7.918693636 1.7190344333648682
44.791 7.845965936 1.694034457206726
44.859 7.844592675 1.694034457206726
44.961 7.685692257 1.669034481048584
45.029 7.611363282 1.6440343856811523
45.097 7.609895196 1.6440343856811523
45.165 7.452835015 1.6190344095230103
45.233 7.490889631 1.6190344095230103
45.301 7.501834949 1.5940344333648682
45.403 7.5051313539999995 1.5940344333648682
45.471 7.305998857 1.544034481048584
45.539 7.398505196 1.544034481048584
45.607 7.356893807 1.544034481048584
45.709 7.237496228 1.519034504890442
45.777 7.286139697 1.519034504890442
45.879 6.993901982 1.4940344095230103
45.947 6.9595647 1.4690344333648682
46.015 6.96071782 1.4690344333648682
46.083 6.801802014 1.444034457206726
46.185 6.844770254 1.444034457206726
46.253 6.61136239 1.394034504890442
46.321 6.534416278 1.394034504890442
46.389 6.38132813 1.3690344095230103
46.491 6.265297957 1.3440344333648682
46.559 6.189642284 1.3440344333648682
46.627 6.075173363 1.319034457206726
46.729 6.064541955 1.294034481048584
46.797 5.990380401 1.294034481048584
46.865 5.874930474 1.269034504890442
46.933 5.825489216 1.2440344095230103
47.035 5.755808544 1.2440344095230103
47.137 5.624829858 1.194034457206726
47.205 5.659482411 1.194034457206726
47.307 5.50404957 1.169034481048584
47.375 5.420185881 1.144034504890442
47.443 5.420030053 1.144034504890442
47.511 5.236104527 1.1190344095230103
47.613 5.182119284 1.0940344333648682
47.681 5.182283771 1.0940344333648682
47.749 5.117507973 1.0940344333648682
47.851 4.943492067 1.044034481048584
47.919 4.94343006 1.044034481048584
48.021 4.793649808 1.019034504890442
48.089 4.706746271 0.994034469127655
48.157 4.7621313910000005 0.994034469127655
48.259 4.611218585 0.9690344333648682
48.327 4.64173823 0.9690344333648682
48.429 4.467673702 0.9440344572067261
48.497 4.322752379 0.919034481048584
48.565 4.232747524 0.8940344452857971
48.667 4.254658818 0.8940344452857971
